fpr,tpr,threshold
0.0,0.0,inf
0.08,0.6266666666666667,1.0
0.08,0.6333333333333333,0.8970018243455935
0.08666666666666667,0.6333333333333333,0.8373941770355156
0.08666666666666667,0.66,0.6041991546454695
0.09333333333333334,0.6933333333333334,0.6
0.09333333333333334,0.7,0.5290887429232463
0.1,0.7,0.4991757846425074
0.1,0.7066666666666667,0.3622025642043238
0.2866666666666667,0.86,0.2857142857142857
0.29333333333333333,0.86,0.2729025393469686
0.29333333333333333,0.8733333333333333,0.20984188290995703
0.30666666666666664,0.8933333333333333,0.14285714285714285
0.32,0.8933333333333333,0.027671227690717216
0.32,0.9,0.006269258708414112
1.0,1.0,0.0
